STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
36,001,000100,1,944,+42.673385,-073.739763
36,001,000100,2,1129,+42.673581,-073.740511
36,001,000201,1,791,+42.659495,-073.753679
36,001,000201,2,1448,+42.658778,-073.756056
36,001,000201,3,886,+42.656995,-073.756610
36,001,000202,1,1614,+42.661452,-073.752129
36,001,000202,2,984,+42.666369,-073.751275
36,001,000301,1,1662,+42.670167,-073.773042
36,001,000301,2,1528,+42.674597,-073.779923
36,001,000302,1,2317,+42.684386,-073.804866
36,001,000302,2,1179,+42.676986,-073.753813
36,001,000401,1,2216,+42.704654,-073.868592
36,001,000403,1,1380,+42.676285,-073.791008
36,001,000403,2,1406,+42.671364,-073.796045
36,001,000403,3,667,+42.673309,-073.799814
36,001,000403,4,965,+42.675215,-073.808727
36,001,000404,1,5194,+42.687193,-073.826151
36,001,000501,1,1099,+42.667076,-073.777685
36,001,000501,2,652,+42.669832,-073.781423
36,001,000501,3,666,+42.672257,-073.784699
36,001,000501,4,1023,+42.672595,-073.786267
36,001,000502,1,1386,+42.664286,-073.783597
36,001,000502,2,1455,+42.668957,-073.789704
36,001,000600,1,585,+42.663003,-073.770009
36,001,000600,2,1062,+42.664485,-073.772263
36,001,000600,3,1853,+42.664215,-073.775664
36,001,000700,1,1227,+42.668189,-073.761360
36,001,000700,2,839,+42.666826,-073.767197
36,001,000700,3,1134,+42.665121,-073.760968
36,001,000700,4,996,+42.663863,-073.764679
36,001,000800,1,700,+42.659059,-073.762296
36,001,000800,2,938,+42.660255,-073.764659
36,001,000800,3,578,+42.661686,-073.767415
36,001,001100,1,1826,+42.651239,-073.753724
36,001,001400,1,1156,+42.654602,-073.763786
36,001,001400,2,1069,+42.655367,-073.765930
36,001,001400,3,839,+42.658812,-073.770461
36,001,001400,4,754,+42.653270,-073.761753
36,001,001500,1,1684,+42.660661,-073.777998
36,001,001500,2,1125,+42.658300,-073.780659
